ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,LOF_outlier,TSNE1,TSNE2
23G-BA02(2),23G-BA,621.0920078,51.12567044,109.5588223,20.51381765,30.16261957,6.354223272,146.1486808,1268.693558,384.0283581,15.30999192,435.6475744,0,20659.28088,192.4577418,380.8628995,-1,5.265963871,18.58935866
23G-F07,23G-F,22.46531737,15.47337741,33.32062798,0.706241449,0.983596265,13.50094187,847.3919147,1062.591957,98.37924571,5.876081484,1538.02419,961.9317654,19688.45239,298.3625489,1.782818352,-1,4.917763047,18.53011755
23G-I09,23G-I,111.4419145,55.76405969,32.43112412,6.297055427,1.423986088,5.142834059,3864.586722,1768.329495,282.4000308,7.62432817,10292.45888,821.7862782,33957.29613,196.2676669,3.251860252,-1,4.96425831,21.01033415
23G-V04,23G-V,7.212352554,12.29364681,78.02369164,6.28105103,0.665968411,32.64403042,824.1280433,680.6872077,780.5357469,9.737744681,23797.7051,9242.261432,6348.646798,124.0064106,4.815735392,-1,7.102307517,1.951137484
23GVA05,23G-VA,18.08907685,4.29747136,43.62671825,3.142041143,0.490780356,7.685591686,10123.65919,325.3030232,75.46681908,15.79100369,797.4502087,0,33724.10183,64.29365703,2.079400464,-1,4.266063819,21.16251418
23G-X14,23G-X,7.610226298,0.535815961,27.52664469,7.948991991,1.226999158,0.216758449,202.7580162,139.9621404,11.94642312,8.808610203,73.70067706,125.3561788,6916.271987,29.16226753,0.315999082,-1,-0.423732865,8.079872546
23G-Y02,23G-Y,133.7659486,2.027949566,56.95233737,19.98997241,12.54864344,12.71448013,270.8766039,1109.82941,240.977024,9.397751015,2879.756509,1075.29927,11343.52029,106.196567,1.595697238,-1,4.593053934,14.52846857
24GG03,24G-G,56.08221863,6.123171881,20.44930583,0.688169234,13.40762432,10.60654319,13985.72567,491.7772804,16.18252317,7.113698236,623.7277634,232.5060354,38593.9251,14.18734994,0.795758659,-1,4.189677445,21.59936696
24GH13,24G-H,7.649940049,23.19911452,4.699231483,2.069298219,0.539094627,2.837964136,17482.44002,281.0939864,215.3079552,7.405967323,25223.98879,478.5146846,5796.463588,9.619453889,0.189375209,-1,8.198967876,3.766696443
24GT01,24G-T,4.924423198,6.416250338,31.05022673,0.691792125,6.017201353,3.483025263,129.1859487,231.0190661,13.91177711,5.78345282,428.9475684,186.120997,9588.4483,36.95362322,0.589195749,-1,2.238319177,12.54939371
23GXA06,La Milpa N,20.07673949,8.257460576,8.179582912,0.818385151,1.24326638,19.16851999,36830.41258,449.0227455,232.1722581,6.099013524,4013.923982,651.3033875,51109.41128,15.68792576,0.939158339,-1,3.430767958,22.19756573
24GB02,La Milpa Quarry,20.7946005,16.22381455,104.2386699,4.095373589,8.413389372,0.270252978,387.7527055,136.0573349,304.1150814,20.63095899,7049.177275,2358.825979,12995.74385,68.48463209,8.636081394,-1,5.476948026,14.83003155
24GO10,RBR01,1.33238005,7.982837896,14.69289585,0.681638572,1.053290235,13.38959671,148.2121093,694.4243216,459.3366643,6.67323497,8532.696273,739.4275837,3504.684529,22.95463165,0.700107659,-1,6.418219205,0.934381859
24GP01,RBR01,3.742695382,26.59100053,42.71040908,1.774523347,4.330306968,34.06093886,771.121096,253.8213565,375.5779554,5.68164874,1424.44497,373.1780022,5342.594659,21.1165868,27.5126796,-1,2.00317659,0.910408871
24GK01,RBR02,1.996249685,7.921810948,55.04174462,0.527092899,9.692985114,22.12367523,12689.71363,397.0375275,47.25972752,7.274679625,559.9374772,223.9155411,3375.744794,27.37764999,0.435176651,-1,-9.336449091,1.293801977
24GK04,RBR02,6.317266445,10.0734062,33.83877643,0.577165328,19.09040802,8.2816318,2372.952913,364.4403704,20.96566052,4.437809217,545.3559743,379.7829439,12078.28758,45.88127739,1.810256313,-1,2.164277194,15.45121849
24GK06,RBR02,13.66243973,37.40998611,422.0273047,15.65257613,1.298608459,1.509183298,832.5977981,7649.500167,70.76234607,45.08439845,3327.226651,0,25648.76521,244.9557121,13.00903402,-1,5.879507693,19.85863209
24GK07,RBR02,18.62375073,6.770536444,39.055997,0.420834462,21.50094078,9.532423207,2670.198365,1181.807075,32.35682987,4.085568896,831.0567377,260.8762376,5658.352311,55.26154179,0.70600945,-1,-9.031672907,0.540033053
24GK08,RBR02,12.53596507,7.018516053,32.63450522,0.610428114,20.13941107,1.786096769,714.1877091,312.4091067,37.8825092,8.721201499,230.493263,153.2732792,11366.401,19.15644703,0.547023923,-1,2.70847412,14.50594232
24GK10,RBR02,18.81184595,6.634962024,31.49826297,0.333896429,24.68762746,6.037484968,347.9593914,309.0567346,6.792672668,7.111492775,412.0093196,300.6696295,9224.042267,10.29305808,0.624386518,-1,1.923459378,12.12506593
24GL02,RBR02,7.115465386,26.55295949,339.4432682,4.752579943,3.823471629,3.20241816,26.96735394,75.96376342,105.4743612,14.6137163,81.27192059,0,24149.99256,76.89718186,14.36335722,-1,5.307324456,19.33720533
24GL03,RBR02,2.157916204,11.9162076,45.50498146,4.998800952,2.563742921,8.008406634,212.2867586,596.8232473,774.1060313,7.145030402,4673.369928,922.2283578,3930.660388,12.0204449,4.532247617,-1,5.843653517,0.01264798
24GL06,RBR02,1.533685509,7.854477989,18.10880462,1.269466481,13.86535236,6.997747446,2126.688402,282.6946153,425.576884,7.005011113,385.7546656,443.4925684,4649.618346,45.72186172,1.825103684,-1,-8.971288515,0.112634319
24GL10,RBR02,12.73842633,5.461351274,20.1703335,1.540845982,14.93443847,5.478320354,727.7475306,311.3134248,8.040609106,5.116092912,161.2934776,115.1045316,9800.885972,19.03311318,0.406544323,-1,1.696614953,12.99731973
24GM01,RBR02,2.13820466,17.73153691,58.110829,1.731097159,2.355362164,0.938858486,12.74124326,75.27073397,62.92075002,18.75509451,289.0214659,581.7846411,6295.880144,39.49158204,2.877469068,-1,-0.881015109,6.281211663
24GM08,RBR02,1.97149223,13.40995408,85.86359544,1.760604404,10.36729139,0.308544429,430.3373413,574.3748521,28.77088896,9.949834663,230.0471749,1039.128083,10182.1644,432.1002979,2.324962775,-1,2.21102269,13.51281201
24GM10,RBR02,5.63317578,10.00583085,61.49834273,0.624481761,4.366234901,1.30362233,225.2701536,424.5817059,21.45160024,13.97555375,198.1599835,1478.970481,7826.390871,423.541266,1.882767421,-1,0.220106156,10.00143509
24GN01,RBR02,1.669389439,38.10673168,6.701116463,5.184679284,3.512052117,29.64913669,534.8290673,277.0208237,474.4142063,12.2595789,1905.518855,723.4259932,6812.335515,333.3937598,3.934413394,-1,2.722535249,5.220712602
24GN02,RBR02,2.565765854,16.26700903,59.943281,3.390951987,16.76790697,1.494253608,189.7949969,269.4804122,439.6270388,11.01512145,408.6105175,0,10479.92356,289.342733,3.958030719,-1,2.872764167,13.56818046
24GN10,RBR02,9.927769246,7.933653413,33.81077645,0.153177224,16.21057626,1.336735719,736.1520953,245.2772972,10.50332065,6.204550301,279.4810108,150.3540421,15402.85189,43.5327442,0.464471363,-1,4.108206895,17.03273958
24GE09,RBR03,37.01150585,25.91467433,24.92121193,0.657868381,3.011156451,3.008625659,10868.47169,577.885828,9.87876425,5.714066639,355.1145294,174.574038,24683.81575,52.89036823,0.273448912,-1,3.3788286,20.20036309
24GA07,RBR04,45.61346548,7.743809994,25.74646143,0.460297931,10.48330862,20.19238755,84446.83461,534.4135295,39.84406924,4.003896009,741.03578,414.1898535,95881.54133,17.9009746,2.728511672,-1,3.021090528,22.51549375
23G-A24,Rancho,67.37719596,1.738989749,18.28084026,16.36994585,1.324075306,27.7313558,1291.242617,605.8165469,54.09775967,7.034572893,1697.032775,460.4885513,49334.29916,131.9660479,0.671009097,-1,5.277928272,21.98849283
